,TenZ SEN,johnqt SEN,Zellsis SEN,zekken SEN,Sacy SEN
MaKo DRX,3 4 -1,0 3 -3,3 2 +1,4 8 -4,3 4 -1
Flashback DRX,4 4 +0,6 4 +2,5 5 +0,4 2 +2,3 3 +0
BeYN DRX,2 3 -1,4 2 +2,3 4 -1,3 7 -4,6 4 +2
BuZz DRX,4 7 -3,3 3 +0,4 3 +1,3 8 -5,4 1 +3
Foxy9 DRX,6 3 +3,2 3 -1,2 3 -1,9 2 +7,4 6 -2
