,TenZ SEN,johnqt SEN,Zellsis SEN,zekken SEN,Sacy SEN
MaKo DRX,0 1 -1,,,0 1 -1,
Flashback DRX,,1 0 +1,,,1 0 +1
BeYN DRX,,,,0 1 -1,
BuZz DRX,,,,,
Foxy9 DRX,,,,,
