,TenZ SEN,johnqt SEN,Zellsis SEN,zekken SEN,Sacy SEN
MaKo DRX,,,1 0 +1,2 3 -1,1 0 +1
Flashback DRX,,2 1 +1,,1 0 +1,
BeYN DRX,,,0 1 -1,0 3 -3,1 0 +1
BuZz DRX,2 3 -1,,1 1 +0,1 2 -1,0 1 -1
Foxy9 DRX,1 0 +1,,,,
