,TenZ SEN,johnqt SEN,Zellsis SEN,zekken SEN,Sacy SEN
MaKo DRX,,,1 0 +1,2 4 -2,2 0 +2
Flashback DRX,1 0 +1,3 1 +2,,2 0 +2,1 1 +0
BeYN DRX,,,0 1 -1,0 4 -4,1 0 +1
BuZz DRX,3 4 -1,,3 1 +2,2 5 -3,1 3 -2
Foxy9 DRX,1 0 +1,0 1 -1,,0 1 -1,
