,westside GX,purp0 GX,Cloud GX,runneR GX,tomaszy GX
koalanoob NAVI,1 0 +1,0 1 -1,1 0 +1,0 2 -2,1 0 +1
hiro NAVI,0 1 -1,1 1 +0,,,2 0 +2
Ruxic NAVI,,,,,0 2 -2
ANGE1 NAVI,,,2 0 +2,,1 1 +0
Shao NAVI,,1 0 +1,,1 0 +1,0 1 -1
