,westside GX,purp0 GX,Cloud GX,runneR GX,tomaszy GX
koalanoob NAVI,0 2 -2,0 1 -1,1 1 +0,1 0 +1,1 1 +0
hiro NAVI,0 1 -1,,,,1 1 +0
Ruxic NAVI,0 1 -1,,0 2 -2,,2 0 +2
ANGE1 NAVI,0 1 -1,,,0 1 -1,2 2 +0
Shao NAVI,,,,,
