,westside GX,purp0 GX,Cloud GX,runneR GX,tomaszy GX
koalanoob NAVI,1 0 +1,1 0 +1,,2 0 +2,1 0 +1
hiro NAVI,,,,1 0 +1,
Ruxic NAVI,,,,2 0 +2,
ANGE1 NAVI,,1 0 +1,1 0 +1,,
Shao NAVI,,1 0 +1,,,2 0 +2
