,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
ANGE1 NAVI,,1 Round 18 Cloud westside,1 Round 4 tomaszy westside purp0,1 Round 2 Cloud tomaszy runneR purp0,,,,,,,60,3,0
Shao NAVI,,1 Round 10 purp0 westside,,1 Round 12 runneR Cloud tomaszy purp0,,,2 Round 6 Cloud westside Round 12 purp0 tomaszy,,,,59,4,0
koalanoob NAVI,,,1 Round 3 Cloud runneR westside,1 Round 20 westside Cloud purp0 tomaszy,,,,,,,41,0,0
Ruxic NAVI,,5 Round 1 westside tomaszy Round 7 purp0 tomaszy Round 13 Cloud runneR Round 15 purp0 westside Round 19 runneR tomaszy,1 Round 10 tomaszy runneR Cloud,,,1 Round 3 tomaszy,1 Round 1 westside tomaszy,,,,68,1,0
hiro NAVI,,5 Round 1 runneR Cloud Round 6 tomaszy runneR Round 7 Cloud runneR Round 17 westside tomaszy Round 18 runneR purp0,3 Round 5 purp0 westside Cloud Round 8 runneR westside Cloud Round 14 Cloud tomaszy westside,,,,,1 Round 5 Cloud westside purp0,,,64,2,0
purp0 GX,,3 Round 8 ANGE1 hiro Round 12 Ruxic hiro Round 17 ANGE1 hiro,,,,1 Round 14 hiro,1 Round 8 ANGE1 hiro,,,,42,2,1
Cloud GX,,3 Round 5 ANGE1 Shao Round 10 hiro koalanoob Round 15 ANGE1 Ruxic,,,,,,,,,47,0,0
tomaszy GX,,,,1 Round 3 koalanoob Shao ANGE1 hiro,,,,,,,31,0,0
runneR GX,,1 Round 17 Shao koalanoob,,1 Round 9 koalanoob Shao hiro ANGE1,,,1 Round 17 Shao koalanoob,,,,64,2,0
westside GX,,6 Round 1 hiro ANGE1 Round 11 koalanoob Shao Round 13 Shao koalanoob Round 14 koalanoob ANGE1 Round 15 hiro Shao Round 16 Ruxic Shao,1 Round 6 Ruxic koalanoob ANGE1,,,,,,,,58,0,0
