,TenTen ZETA,CLZ ZETA,Dep ZETA,Xdll ZETA,SugarZ3ro ZETA
iZu T1,5 0 +5,1 0 +1,2 3 -1,,
stax T1,,,,0 1 -1,
BuZz T1,3 1 +2,0 2 -2,1 3 -2,1 1 +0,
Meteor T1,3 2 +1,0 1 -1,2 0 +2,,0 1 -1
DH T1,2 1 +1,,,,1 3 -2
