,TenTen ZETA,CLZ ZETA,Dep ZETA,Xdll ZETA,SugarZ3ro ZETA
iZu T1,2 0 +2,1 0 +1,1 2 -1,,
stax T1,,,,,
BuZz T1,2 1 +1,0 1 -1,0 1 -1,1 0 +1,
Meteor T1,2 1 +1,0 1 -1,1 0 +1,,0 1 -1
DH T1,1 0 +1,,,,1 1 +0
