,TenTen ZETA,CLZ ZETA,Dep ZETA,Xdll ZETA,SugarZ3ro ZETA
iZu T1,3 0 +3,,1 1 +0,,
stax T1,,,,0 1 -1,
BuZz T1,1 0 +1,0 1 -1,1 2 -1,0 1 -1,
Meteor T1,1 1 +0,,1 0 +1,,
DH T1,1 1 +0,,,,0 2 -2
