,TenTen ZETA,CLZ ZETA,Dep ZETA,Xdll ZETA,SugarZ3ro ZETA
iZu T1,,,,,
stax T1,0 1 -1,,,,
BuZz T1,2 1 +1,1 0 +1,,,
Meteor T1,,,,,
DH T1,,,,,
