,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC,kaajak FNC
MiniBoo TH,,1 1 +0,0 2 -2,3 0 +3,
RieNs TH,0 1 -1,,,1 0 +1,1 1 +0
Boo TH,,,,,0 2 -2
benjyfishy TH,,,,,0 1 -1
Wo0t TH,,,1 2 -1,1 0 +1,0 1 -1
