,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC,kaajak FNC
MiniBoo TH,1 3 -2,2 5 -3,4 3 +1,3 3 +0,3 2 +1
RieNs TH,0 3 -3,3 2 +1,4 4 +0,5 3 +2,3 3 +0
Boo TH,6 2 +4,1 2 -1,0 4 -4,2 4 -2,4 5 -1
benjyfishy TH,2 1 +1,2 4 -2,4 3 +1,2 2 +0,1 7 -6
Wo0t TH,2 0 +2,1 3 -2,3 6 -3,1 3 -2,1 3 -2
