,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC,kaajak FNC
MiniBoo TH,4 4 +0,2 1 +1,1 4 -3,2 6 -4,2 5 -3
RieNs TH,4 8 -4,5 2 +3,5 2 +3,1 3 -2,0 2 -2
Boo TH,1 1 +0,1 4 -3,3 7 -4,3 0 +3,3 4 -1
benjyfishy TH,1 5 -4,4 2 +2,6 4 +2,2 3 -1,4 3 +1
Wo0t TH,3 4 -1,2 3 -1,1 3 -2,3 3 +0,3 4 -1
