,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC,kaajak FNC
MiniBoo TH,5 7 -2,4 6 -2,5 7 -2,5 9 -4,5 7 -2
RieNs TH,4 11 -7,8 4 +4,9 6 +3,6 6 +0,3 5 -2
Boo TH,7 3 +4,2 6 -4,3 11 -8,5 4 +1,7 9 -2
benjyfishy TH,3 6 -3,6 6 +0,10 7 +3,4 5 -1,5 10 -5
Wo0t TH,5 4 +1,3 6 -3,4 9 -5,4 6 -2,4 7 -3
