,crashies FNC,Chronicle FNC,Alfajer FNC,Boaster FNC,kaajak FNC
MiniBoo TH,1 2 -1,1 1 +0,1 0 +1,1 1 +0,0 2 -2
RieNs TH,0 2 -2,,,,
Boo TH,,,0 1 -1,,1 0 +1
benjyfishy TH,0 1 -1,,2 1 +1,1 1 +0,1 0 +1
Wo0t TH,,,,,
