,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
baddyG MKOI,,4 Round 1 Shao alexiiik Round 2 alexiiik ANGE1 Round 21 hiro Ruxic baddyG Round 22 Ruxic alexiiik,2 Round 16 Ruxic hiro alexiiik Round 17 Ruxic hiro Shao,1 Round 14 Ruxic hiro alexiiik ANGE1 baddyG,,1 Round 18 Shao,,,,,63,2,1
MONSTEERR MKOI,,5 Round 1 Ruxic hiro Round 4 ANGE1 hiro Round 11 Shao alexiiik Round 13 ANGE1 Ruxic Round 16 Ruxic ANGE1,,,,1 Round 13 Ruxic,,,,,64,0,1
flyuh MKOI,,1 Round 10 hiro alexiiik,2 Round 7 ANGE1 Shao hiro Round 18 alexiiik hiro ANGE1,,,,,,,,59,1,0
Filu MKOI,,2 Round 7 alexiiik hiro Round 20 Ruxic Shao,,,,,,,,,35,0,0
nataNk MKOI,,1 Round 2 hiro Ruxic,,,,,,,,,19,6,0
ANGE1 NAVI,,,1 Round 8 Filu flyuh MONSTEERR,,,1 Round 14 baddyG,,,,,45,0,1
Shao NAVI,,2 Round 7 nataNk MONSTEERR Round 20 baddyG MONSTEERR,1 Round 18 Filu flyuh MONSTEERR,,,,,,,,48,6,1
Ruxic NAVI,,4 Round 12 flyuh MONSTEERR Round 14 nataNk MONSTEERR Round 21 flyuh Filu Round 22 MONSTEERR flyuh,2 Round 13 baddyG Filu flyuh Round 15 nataNk flyuh Filu Ruxic,1 Round 5 baddyG baddyG MONSTEERR nataNk,,,,,1 Round 21 flyuh baddyG MONSTEERR Filu,,67,1,1
alexiiik NAVI,,4 Round 3 baddyG nataNk Round 5 Filu flyuh Round 11 baddyG flyuh Round 19 baddyG MONSTEERR,3 Round 6 baddyG flyuh MONSTEERR Round 10 MONSTEERR flyuh baddyG Round 12 Filu nataNk baddyG,,,,,,,,64,0,0
hiro NAVI,,5 Round 3 MONSTEERR flyuh Round 4 flyuh baddyG Round 11 Filu MONSTEERR Round 19 flyuh nataNk Round 20 Filu flyuh,1 Round 9 Filu flyuh MONSTEERR,,,1 Round 20 flyuh,,,,,65,0,1
