,hiro NAVI,ANGE1 NAVI,Shao NAVI,alexiiik NAVI,Ruxic NAVI
nataNk MKOI,,1 0 +1,,1 2 -1,1 0 +1
Filu MKOI,1 1 +0,,,1 1 +0,0 1 -1
MONSTEERR MKOI,,,,0 2 -2,
baddyG MKOI,,1 1 +0,,,1 0 +1
flyuh MKOI,,,,0 1 -1,
