,hiro NAVI,ANGE1 NAVI,Shao NAVI,alexiiik NAVI,Ruxic NAVI
nataNk MKOI,0 1 -1,3 2 +1,1 1 +0,1 5 -4,2 3 -1
Filu MKOI,1 2 -1,2 0 +2,1 1 +0,3 3 +0,1 2 -1
MONSTEERR MKOI,0 2 -2,1 0 +1,1 0 +1,3 2 +1,1 1 +0
baddyG MKOI,1 1 +0,3 1 +2,1 1 +0,1 1 +0,5 0 +5
flyuh MKOI,,3 0 +3,,1 1 +0,0 2 -2
