,hiro NAVI,ANGE1 NAVI,Shao NAVI,alexiiik NAVI,Ruxic NAVI
nataNk MKOI,0 1 -1,2 1 +1,1 1 +0,0 1 -1,1 1 +0
Filu MKOI,0 1 -1,1 0 +1,0 1 -1,1 0 +1,
MONSTEERR MKOI,0 2 -2,1 0 +1,,3 0 +3,1 1 +0
baddyG MKOI,1 1 +0,2 0 +2,1 0 +1,,1 0 +1
flyuh MKOI,,1 0 +1,,,0 2 -2
