,hiro NAVI,ANGE1 NAVI,Shao NAVI,alexiiik NAVI,Ruxic NAVI
nataNk MKOI,,,,0 4 -4,
Filu MKOI,,1 0 +1,1 0 +1,0 4 -4,
MONSTEERR MKOI,,,,0 4 -4,
baddyG MKOI,,,,0 3 -3,
flyuh MKOI,,,,0 2 -2,
