,artzin MIBR,cortezia MIBR,Verno MIBR,aspas MIBR,xenom MIBR
Foxy9 GEN,3 2 +1,5 1 +4,4 3 +1,3 2 +1,3 0 +3
t3xture GEN,4 2 +2,5 2 +3,2 3 -1,3 2 +1,2 1 +1
Karon GEN,4 3 +1,2 1 +1,4 3 +1,3 0 +3,8 4 +4
Ash GEN,2 0 +2,4 1 +3,3 4 -1,3 2 +1,2 1 +1
Munchkin GEN,3 0 +3,1 4 -3,1 3 -2,4 1 +3,2 1 +1
