,artzin MIBR,cortezia MIBR,Verno MIBR,aspas MIBR,xenom MIBR
Foxy9 GEN,2 0 +2,3 1 +2,3 2 +1,3 2 +1,0 1 -1
t3xture GEN,4 0 +4,6 2 +4,1 2 -1,3 1 +2,5 2 +3
Karon GEN,3 2 +1,3 1 +2,3 1 +2,2 0 +2,2 1 +1
Ash GEN,1 1 +0,1 1 +0,2 0 +2,4 1 +3,4 1 +3
Munchkin GEN,4 0 +4,1 3 -2,4 0 +4,1 1 +0,2 0 +2
