,artzin MIBR,cortezia MIBR,Verno MIBR,aspas MIBR,xenom MIBR
Foxy9 GEN,5 2 +3,8 2 +6,7 5 +2,6 4 +2,3 1 +2
t3xture GEN,8 2 +6,11 4 +7,3 5 -2,6 3 +3,7 3 +4
Karon GEN,7 5 +2,5 2 +3,7 4 +3,5 0 +5,10 5 +5
Ash GEN,3 1 +2,5 2 +3,5 4 +1,7 3 +4,6 2 +4
Munchkin GEN,7 0 +7,2 7 -5,5 3 +2,5 2 +3,4 1 +3
