,artzin MIBR,cortezia MIBR,Verno MIBR,aspas MIBR,xenom MIBR
Foxy9 GEN,,1 1 +0,,1 0 +1,1 0 +1
t3xture GEN,2 0 +2,2 0 +2,,1 0 +1,
Karon GEN,2 1 +1,,,,0 2 -2
Ash GEN,,,1 0 +1,,
Munchkin GEN,,0 1 -1,,1 0 +1,0 1 -1
