,Mazino KRÜ,Melser KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ
eeiu 100T,7 2 +5,6 1 +5,3 4 -1,6 5 +1,5 5 +0
Kess 100T,2 2 +0,4 4 +0,8 2 +6,5 3 +2,4 2 +2
Cryocells 100T,4 5 -1,5 1 +4,4 5 -1,8 2 +6,5 3 +2
zander 100T,8 2 +6,4 4 +0,4 5 -1,6 5 +1,6 3 +3
Asuna 100T,8 2 +6,8 5 +3,8 2 +6,4 6 -2,6 4 +2
