,Mazino KRÜ,Melser KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ
eeiu 100T,5 1 +4,2 1 +1,3 3 +0,4 2 +2,4 2 +2
Kess 100T,2 0 +2,2 2 +0,6 2 +4,2 2 +0,2 0 +2
Cryocells 100T,3 2 +1,3 0 +3,0 0,6 1 +5,3 2 +1
zander 100T,1 1 +0,2 0 +2,1 3 -2,2 3 -1,3 3 +0
Asuna 100T,4 2 +2,4 1 +3,4 2 +2,1 3 -2,2 3 -1
