,Mazino KRÜ,Melser KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ
eeiu 100T,2 1 +1,4 0 +4,0 1 -1,2 3 -1,1 3 -2
Kess 100T,0 2 -2,2 2 +0,2 0 +2,3 1 +2,2 2 +0
Cryocells 100T,1 3 -2,2 1 +1,4 5 -1,2 1 +1,2 1 +1
zander 100T,7 1 +6,2 4 -2,3 2 +1,4 2 +2,3 0 +3
Asuna 100T,4 0 +4,4 4 +0,4 0 +4,3 3 +0,4 1 +3
