,Mazino KRÜ,Melser KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ
eeiu 100T,,1 0 +1,,,0 1 -1
Kess 100T,,,1 0 +1,,
Cryocells 100T,1 0 +1,,0 0,3 0 +3,2 0 +2
zander 100T,,,,0 1 -1,1 0 +1
Asuna 100T,,1 1 +0,1 0 +1,1 1 +0,1 0 +1
