,Mazino KRÜ,Melser KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ
eeiu 100T,,1 0 +1,,1 0 +1,0 1 -1
Kess 100T,,,1 0 +1,,
Cryocells 100T,2 0 +2,,1 2 -1,4 0 +4,2 1 +1
zander 100T,1 0 +1,,,4 3 +1,1 0 +1
Asuna 100T,,1 2 -1,1 0 +1,1 3 -2,2 0 +2
