,Mazino KRÜ,Melser KRÜ,Shyy KRÜ,Dantedeu5 KRÜ,keznit KRÜ
eeiu 100T,,,,1 0 +1,
Kess 100T,,,,,
Cryocells 100T,1 0 +1,,1 2 -1,1 0 +1,0 1 -1
zander 100T,1 0 +1,,,4 2 +2,
Asuna 100T,,0 1 -1,,0 2 -2,1 0 +1
