,silentzz 2G,gobera 2G,spike 2G,lz 2G,pryze 2G
v1c C9,7 1 +6,5 2 +3,3 2 +1,3 0 +3,3 1 +2
OXY C9,2 0 +2,3 1 +2,1 2 -1,5 1 +4,5 0 +5
Xeppaa C9,3 0 +3,2 1 +1,3 0 +3,3 2 +1,3 2 +1
mitch C9,1 0 +1,3 0 +3,4 1 +3,2 2 +0,2 2 +0
neT C9,1 2 -1,1 0 +1,3 1 +2,1 0 +1,1 3 -2
