,aspas MIBR,artzin MIBR,Verno MIBR,cortezia MIBR,xenom MIBR
v1c C9,2 5 -3,1 2 -1,6 3 +3,3 3 +0,6 1 +5
OXY C9,4 8 -4,9 1 +8,3 1 +2,6 5 +1,5 5 +0
mitch C9,0 6 -6,2 2 +0,0 1 -1,2 8 -6,2 1 +1
Xeppaa C9,7 5 +2,5 2 +3,2 4 -2,1 3 -2,2 1 +1
neT C9,1 3 -2,1 4 -3,1 2 -1,3 3 +0,2 5 -3
