,aspas MIBR,artzin MIBR,Verno MIBR,cortezia MIBR,xenom MIBR
v1c C9,11 14 -3,12 7 +5,11 9 +2,10 10 +0,18 5 +13
OXY C9,14 15 -1,17 11 +6,8 12 -4,11 15 -4,16 10 +6
mitch C9,8 11 -3,10 7 +3,6 7 -1,7 15 -8,5 13 -8
Xeppaa C9,14 13 +1,12 6 +6,7 8 -1,7 14 -7,7 8 -1
neT C9,6 14 -8,8 6 +2,9 9 +0,14 9 +5,5 9 -4
