,aspas MIBR,artzin MIBR,Verno MIBR,cortezia MIBR,xenom MIBR
v1c C9,1 1 +0,0 1 -1,,1 2 -1,3 0 +3
OXY C9,3 2 +1,1 2 -1,0 1 -1,0 1 -1,4 1 +3
mitch C9,,0 1 -1,,,
Xeppaa C9,0 1 -1,,,,
neT C9,0 1 -1,1 0 +1,,,
