,aspas MIBR,artzin MIBR,Verno MIBR,cortezia MIBR,xenom MIBR
v1c C9,5 6 -1,6 4 +2,2 3 -1,2 4 -2,9 3 +6
OXY C9,6 4 +2,5 8 -3,1 7 -6,3 3 +0,6 3 +3
mitch C9,6 4 +2,5 2 +3,5 3 +2,4 4 +0,2 7 -5
Xeppaa C9,1 2 -1,3 2 +1,1 3 -2,4 8 -4,1 5 -4
neT C9,4 7 -3,4 1 +3,6 3 +3,7 2 +5,2 4 -2
