,aspas MIBR,artzin MIBR,Verno MIBR,cortezia MIBR,xenom MIBR
v1c C9,4 3 +1,5 1 +4,3 3 +0,5 3 +2,3 1 +2
OXY C9,4 3 +1,3 2 +1,4 4 +0,2 7 -5,5 2 +3
mitch C9,2 1 +1,3 3 +0,1 3 -2,1 3 -2,1 5 -4
Xeppaa C9,6 6 +0,4 2 +2,4 1 +3,2 3 -1,4 2 +2
neT C9,1 4 -3,3 1 +2,2 4 -2,4 4 +0,1 0 +1
