,aspas MIBR,artzin MIBR,Verno MIBR,cortezia MIBR,xenom MIBR
v1c C9,1 1 +0,,,,
OXY C9,1 2 -1,4 0 +4,,1 2 -1,1 1 +0
mitch C9,0 2 -2,0 1 -1,,0 1 -1,
Xeppaa C9,2 1 +1,,,,
neT C9,0 1 -1,0 2 -2,,,
