,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
mitch C9,,5 Round 4 aspas Verno Round 14 aspas xenom Round 19 artzin aspas Round 22 Verno artzin Round 26 cortezia aspas,1 Round 23 Verno cortezia artzin,,,1 Round 18 xenom,,,,,50,6,2
neT C9,,3 Round 13 Verno aspas Round 24 Verno artzin Round 28 artzin xenom,4 Round 12 aspas artzin cortezia Round 16 aspas Verno cortezia Round 18 cortezia artzin Verno Round 21 cortezia xenom Verno,,,2 Round 12 cortezia Round 13 xenom,,,,,55,2,1
Xeppaa C9,,,,,,,,,,,30,1,0
v1c C9,,4 Round 8 artzin aspas Round 11 xenom aspas Round 24 cortezia xenom Round 26 xenom artzin,1 Round 3 Verno aspas artzin,2 Round 9 xenom artzin aspas cortezia Round 17 aspas artzin xenom Verno,,,,,,,54,0,0
OXY C9,,1 Round 1 aspas artzin,1 Round 22 aspas cortezia xenom,2 Round 15 artzin Verno xenom cortezia Round 25 xenom aspas artzin cortezia,,,,,,,43,0,1
cortezia MIBR,,3 Round 4 mitch Xeppaa Round 10 Xeppaa neT Round 19 v1c OXY,1 Round 27 OXY Xeppaa v1c,1 Round 12 v1c mitch OXY Xeppaa,,,1 Round 4 mitch Xeppaa,,,,55,0,1
artzin MIBR,,4 Round 3 OXY mitch Round 7 OXY v1c Round 11 mitch OXY Round 18 OXY v1c,,,,,,,,,42,5,1
aspas MIBR,,4 Round 2 neT v1c Round 11 Xeppaa neT Round 20 OXY neT Round 28 v1c mitch,1 Round 8 OXY mitch neT,,,,,,,,44,0,0
xenom MIBR,,4 Round 5 OXY v1c Round 7 mitch neT Round 17 Xeppaa OXY Round 19 Xeppaa mitch,2 Round 13 mitch Xeppaa neT Round 23 OXY neT mitch xenom,,,,1 Round 23 neT mitch,,,,42,2,0
Verno MIBR,,2 Round 4 OXY v1c Round 28 neT OXY,2 Round 1 OXY neT v1c Round 26 OXY Xeppaa mitch,,,2 Round 1 v1c Round 26 mitch,,,,,44,1,3
