,Munchkin GEN,Foxy9 GEN,t3xture GEN,Ash GEN,Karon GEN
f0rsakeN PRX,,,0 1 -1,,
d4v41 PRX,1 0 +1,,,,0 0
PatMen PRX,,,,,0 0
something PRX,,,0 2 -2,,
Jinggg PRX,,,0 2 -2,,
