,Munchkin GEN,Foxy9 GEN,t3xture GEN,Ash GEN,Karon GEN
f0rsakeN PRX,,1 1 +0,3 1 +2,0 1 -1,
d4v41 PRX,,,0 2 -2,,
PatMen PRX,1 1 +0,0 1 -1,1 1 +0,,
something PRX,0 1 -1,0 2 -2,2 5 -3,,3 2 +1
Jinggg PRX,,2 1 +1,2 3 -1,,2 1 +1
