,Munchkin GEN,Foxy9 GEN,t3xture GEN,Ash GEN,Karon GEN
f0rsakeN PRX,,,0 1 -1,,
d4v41 PRX,1 0 +1,,,,
PatMen PRX,,,0 1 -1,,
something PRX,,,0 3 -3,,1 0 +1
Jinggg PRX,,,0 2 -2,,
