,Munchkin GEN,Foxy9 GEN,t3xture GEN,Ash GEN,Karon GEN
f0rsakeN PRX,7 7 +0,2 8 -6,7 8 -1,7 4 +3,4 7 -3
d4v41 PRX,4 6 -2,4 5 -1,4 10 -6,4 2 +2,5 7 -2
PatMen PRX,8 6 +2,9 6 +3,5 11 -6,4 4 +0,0 4 -4
something PRX,2 7 -5,5 7 -2,4 9 -5,3 4 -1,8 7 +1
Jinggg PRX,8 7 +1,4 8 -4,5 7 -2,4 6 -2,7 4 +3
