,Munchkin GEN,Foxy9 GEN,t3xture GEN,Ash GEN,Karon GEN
f0rsakeN PRX,1 4 -3,0 4 -4,1 2 -1,2 2 +0,1 2 -1
d4v41 PRX,1 3 -2,2 3 -1,1 5 -4,0 1 -1,0 0
PatMen PRX,4 4 +0,4 3 +1,2 4 -2,2 2 +0,0 0
something PRX,0 5 -5,3 3 +0,1 3 -2,1 1 +0,4 2 +2
Jinggg PRX,4 3 +1,1 3 -2,1 4 -3,1 3 -2,2 1 +1
