,Munchkin GEN,Foxy9 GEN,t3xture GEN,Ash GEN,Karon GEN
f0rsakeN PRX,,1 0 +1,2 1 +1,0 1 -1,
d4v41 PRX,,,0 1 -1,,
PatMen PRX,1 0 +1,0 1 -1,0 1 -1,,
something PRX,0 1 -1,,1 3 -2,,1 2 -1
Jinggg PRX,,2 1 +1,2 0 +2,,2 0 +2
