,Cryocells 100T,Kess 100T,zander 100T,Asuna 100T,eeiu 100T
aspas MIBR,5 4 +1,2 5 -3,3 3 +0,7 5 +2,2 3 -1
artzin MIBR,2 6 -4,2 4 -2,2 2 +0,2 8 -6,1 3 -2
xenom MIBR,3 4 -1,4 0 +4,3 3 +0,4 5 -1,3 4 -1
Verno MIBR,2 4 -2,5 3 +2,1 5 -4,2 1 +1,5 6 -1
cortezia MIBR,5 9 -4,8 0 +8,7 1 +6,4 3 +1,4 1 +3
