,Cryocells 100T,Kess 100T,zander 100T,Asuna 100T,eeiu 100T
aspas MIBR,1 0 +1,1 1 +0,1 0 +1,,2 0 +2
artzin MIBR,0 1 -1,,,,
xenom MIBR,0 3 -3,,,,
Verno MIBR,0 3 -3,0 1 -1,,,
cortezia MIBR,0 2 -2,,,,
