,Cryocells 100T,Kess 100T,zander 100T,Asuna 100T,eeiu 100T
aspas MIBR,10 7 +3,7 8 -1,9 5 +4,11 7 +4,6 4 +2
artzin MIBR,5 8 -3,7 4 +3,3 8 -5,5 13 -8,5 7 -2
xenom MIBR,4 10 -6,5 3 +2,5 5 +0,7 6 +1,7 8 -1
Verno MIBR,3 9 -6,6 5 +1,5 7 -2,6 5 +1,7 7 +0
cortezia MIBR,10 13 -3,12 4 +8,14 2 +12,7 5 +2,7 5 +2
