,Cryocells 100T,Kess 100T,zander 100T,Asuna 100T,eeiu 100T
aspas MIBR,1 1 +0,2 1 +1,2 1 +1,1 0 +1,1 0 +1
artzin MIBR,1 0 +1,,0 3 -3,0 1 -1,
xenom MIBR,,,0 1 -1,,
Verno MIBR,,,,1 1 +0,
cortezia MIBR,1 1 +0,0 2 -2,,1 0 +1,
