,Cryocells 100T,Kess 100T,zander 100T,Asuna 100T,eeiu 100T
aspas MIBR,1 0 +1,,,0 2 -2,
artzin MIBR,0 1 -1,1 3 -2,0 1 -1,0 4 -4,1 0 +1
xenom MIBR,,1 0 +1,,0 1 -1,
Verno MIBR,1 0 +1,1 1 +0,0 1 -1,,0 1 -1
cortezia MIBR,1 2 -1,1 0 +1,,0 1 -1,
