,Cryocells 100T,Kess 100T,zander 100T,Asuna 100T,eeiu 100T
aspas MIBR,5 3 +2,5 3 +2,6 2 +4,4 2 +2,4 1 +3
artzin MIBR,3 2 +1,5 0 +5,1 6 -5,3 5 -2,4 4 +0
xenom MIBR,1 6 -5,1 3 -2,2 2 +0,3 1 +2,4 4 +0
Verno MIBR,1 5 -4,1 2 -1,4 2 +2,4 4 +0,2 1 +1
cortezia MIBR,5 4 +1,4 4 +0,7 1 +6,3 2 +1,3 4 -1
