,Sacy SEN,TenZ SEN,johnqt SEN,zekken SEN,Zellsis SEN
Boo TH,,0 1 -1,,1 0 +1,
RieNs TH,0 1 -1,1 0 +1,1 1 +0,2 0 +2,1 0 +1
benjyfishy TH,,0 1 -1,,0 2 -2,
MiniBoo TH,,,1 0 +1,2 3 -1,
Wo0t TH,,,,1 1 +0,
