,Sacy SEN,TenZ SEN,johnqt SEN,zekken SEN,Zellsis SEN
Boo TH,5 0 +5,5 2 +3,2 2 +0,3 5 -2,5 3 +2
RieNs TH,4 3 +1,2 3 -1,4 0 +4,4 2 +2,1 3 -2
benjyfishy TH,2 3 -1,3 1 +2,7 0 +7,2 3 -1,5 7 -2
MiniBoo TH,6 3 +3,2 3 -1,2 2 +0,4 3 +1,2 4 -2
Wo0t TH,1 0 +1,4 3 +1,1 2 -1,2 4 -2,3 5 -2
