,Sacy SEN,TenZ SEN,johnqt SEN,zekken SEN,Zellsis SEN
Boo TH,11 2 +9,9 10 -1,6 6 +0,7 12 -5,8 9 -1
RieNs TH,10 11 -1,6 12 -6,13 4 +9,13 10 +3,8 5 +3
benjyfishy TH,4 7 -3,8 16 -8,12 1 +11,6 11 -5,12 10 +2
MiniBoo TH,10 6 +4,10 8 +2,5 9 -4,11 14 -3,12 6 +6
Wo0t TH,11 1 +10,7 9 -2,5 7 -2,10 11 -1,6 9 -3
