,Sacy SEN,TenZ SEN,johnqt SEN,zekken SEN,Zellsis SEN
Boo TH,2 1 +1,1 4 -3,3 1 +2,2 4 -2,1 1 +0
RieNs TH,5 2 +3,3 3 +0,6 2 +4,4 6 -2,6 0 +6
benjyfishy TH,2 2 +0,4 3 +1,4 1 +3,3 6 -3,5 1 +4
MiniBoo TH,2 1 +1,5 2 +3,2 2 +0,3 6 -3,4 1 +3
Wo0t TH,5 0 +5,1 2 -1,1 1 +0,4 4 +0,2 1 +1
