,Sacy SEN,TenZ SEN,johnqt SEN,zekken SEN,Zellsis SEN
Boo TH,4 1 +3,3 4 -1,1 3 -2,2 3 -1,2 5 -3
RieNs TH,1 6 -5,1 6 -5,3 2 +1,5 2 +3,1 2 -1
benjyfishy TH,0 2 -2,1 12 -11,1 0 +1,1 2 -1,2 2 +0
MiniBoo TH,2 2 +0,3 3 +0,1 5 -4,4 5 -1,6 1 +5
Wo0t TH,5 1 +4,2 4 -2,3 4 -1,4 3 +1,1 3 -2
