,Sacy SEN,TenZ SEN,johnqt SEN,zekken SEN,Zellsis SEN
Boo TH,2 0 +2,2 2 +0,0 1 -1,3 1 +2,0 1 -1
RieNs TH,0 1 -1,1 0 +1,1 1 +0,4 2 +2,1 1 +0
benjyfishy TH,0 2 -2,0 2 -2,1 0 +1,1 2 -1,2 0 +2
MiniBoo TH,2 1 +1,1 1 +0,2 1 +1,4 3 +1,2 1 +1
Wo0t TH,,2 1 +1,1 2 -1,2 2 +0,1 0 +1
