,Sacy SEN,TenZ SEN,johnqt SEN,zekken SEN,Zellsis SEN
Boo TH,1 0 +1,0 1 -1,,0 1 -1,0 1 -1
RieNs TH,,,,2 1 +1,
benjyfishy TH,0 2 -2,0 1 -1,,1 0 +1,1 0 +1
MiniBoo TH,,1 0 +1,0 1 -1,1 0 +1,2 0 +2
Wo0t TH,,0 1 -1,1 1 +0,1 0 +1,
