,UdoTan GE,Kr1stal GE,Papi GE,kellyS GE,yokam GE
Akame DFM,2 6 -4,3 1 +2,2 2 +0,4 1 +3,3 5 -2
Art DFM,2 6 -4,3 5 -2,3 2 +1,3 5 -2,2 0 +2
Meiy DFM,5 2 +3,3 4 -1,2 2 +0,3 6 -3,4 2 +2
gyen DFM,3 1 +2,2 7 -5,1 3 -2,3 5 -2,4 2 +2
Jinboong DFM,3 3 +0,1 2 -1,5 4 +1,4 2 +2,3 3 +0
