,UdoTan GE,Kr1stal GE,Papi GE,kellyS GE,yokam GE
Akame DFM,6 10 -4,6 4 +2,4 6 -2,8 3 +5,7 7 +0
Art DFM,2 9 -7,5 6 -1,3 6 -3,7 7 +0,3 4 -1
Meiy DFM,8 4 +4,4 6 -2,5 5 +0,5 11 -6,10 4 +6
gyen DFM,5 4 +1,3 11 -8,4 4 +0,5 8 -3,9 5 +4
Jinboong DFM,9 6 +3,3 6 -3,8 6 +2,5 6 -1,5 5 +0
