,UdoTan GE,Kr1stal GE,Papi GE,kellyS GE,yokam GE
Akame DFM,2 1 +1,3 2 +1,1 0 +1,,0 3 -3
Art DFM,0 2 -2,0 1 -1,,2 0 +2,0 3 -3
Meiy DFM,0 1 -1,0 1 -1,,1 0 +1,3 3 +0
gyen DFM,1 0 +1,1 0 +1,,,3 2 +1
Jinboong DFM,2 1 +1,,1 1 +0,0 1 -1,0 2 -2
