,UdoTan GE,Kr1stal GE,Papi GE,kellyS GE,yokam GE
Akame DFM,,1 2 -1,,,0 1 -1
Art DFM,0 1 -1,,,1 0 +1,0 3 -3
Meiy DFM,,,,,1 2 -1
gyen DFM,1 0 +1,,,,3 0 +3
Jinboong DFM,1 0 +1,,1 1 +0,0 1 -1,
