,UdoTan GE,Kr1stal GE,Papi GE,kellyS GE,yokam GE
Akame DFM,4 4 +0,3 3 +0,2 4 -2,4 2 +2,4 2 +2
Art DFM,0 3 -3,2 1 +1,0 4 -4,4 2 +2,1 4 -3
Meiy DFM,3 2 +1,1 2 -1,3 3 +0,2 5 -3,6 2 +4
gyen DFM,2 3 -1,1 4 -3,3 1 +2,2 3 -1,5 3 +2
Jinboong DFM,6 3 +3,2 4 -2,3 2 +1,1 4 -3,2 2 +0
